timestap,can_msg.data,can_msg.dlc,can_msg.id,error_mask,error_messages,header.frame_id,header.stamp.nanosec,header.stamp.sec,reset_required
1740861303331743873,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,331228944,1740861303,False
1740861304334047501,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,333480794,1740861304,False
1740861305329308119,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,328476506,1740861305,False
1740861306332993870,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,332013868,1740861306,False
1740861307344901931,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,343515003,1740861307,False
1740861308346141130,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,345621208,1740861308,False
1740861309344618042,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,343963075,1740861309,False
1740861310346877944,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,346209025,1740861310,False
1740861311357916367,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,357176694,1740861311,False
1740861312359501971,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,358466831,1740861312,False
1740861313362193386,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,361568117,1740861313,False
1740861314364016946,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,363258873,1740861314,False
1740861315365509150,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,364811462,1740861315,False
1740861316369027772,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,368122525,1740861316,False
1740861317370690666,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,370220378,1740861317,False
1740861318381756324,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,380924712,1740861318,False
1740861319383109636,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,382018655,1740861319,False
1740861320384745404,[  0   0 128   0   0   0   0   0],8,263,140737488355328,"['Max Fuel Flow achieved: Fuel pump max power limit reached. Informative error. Usually caused by lockage of fuel filter, or another problem in the fuel installation. (Reset condition: Once fuel pump power within limits)']",Errors,384135719,1740861320,False
