timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324975249011592,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,248327745,1763324975
1763324975342322896,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,342010157,1763324975
1763324975469613825,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,468194739,1763324975
1763324975551274680,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,550338223,1763324975
1763324975646568659,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,644237212,1763324975
1763324975749951964,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,748462126,1763324975
1763324975841008686,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,840617227,1763324975
1763324975943070187,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,942850089,1763324975
1763324976046149042,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,45830671,1763324976
1763324976149061015,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,148497554,1763324976
1763324976251270998,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,251019892,1763324976
1763324976345088612,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,344533790,1763324976
1763324976468685842,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,468272334,1763324976
1763324976552368893,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,550839374,1763324976
1763324976644208375,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,643357039,1763324976
1763324976746728505,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,745892529,1763324976
1763324976851398479,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,850613160,1763324976
1763324976953857297,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,953371372,1763324976
1763324977047413404,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,47187162,1763324977
1763324977153390112,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,152973180,1763324977
